FieldID,FieldName,Category,SourceHint,TargetUsage,DataType,Required,Confidence,Notes
FD-001,customer_name,dynamic,input filename / document body,all output document headers,text,Yes,High,当前样例可明确识别为 伊藤忠商事株式会社
FD-002,project_title,dynamic,input filename / document body,all output titles and filenames,text,Yes,High,当前需求主题为 人事システム 2025年年末調整対応 Ph4 所得税是正対応
FD-003,document_type_input,dynamic,input filename,input classification,text,Yes,High,如 注文書兼請書 / 見積書
FD-004,request_or_estimate_no,dynamic,input filename / document body,identifier fields,text,Yes,Medium,如 26Q2200065
FD-005,project_period_start,dynamic,input body / derived rule,filename / form fields,date,No,Low,当前 input 文件名未直接给出开始日期
FD-006,project_period_end,dynamic,input body / derived rule,filename / form fields,date,No,Low,当前 input 文件名未直接给出结束日期
FD-007,fiscal_year_or_period,dynamic,input body / derived rule,filename / period fields,text,No,Low,需从正文或业务规则确定
FD-008,internal_document_type,dynamic,rule driven,output document selection,text,Yes,Medium,需决定生成哪些内部文档种类
FD-009,vendor_name,dynamic,rule / master data,contract forms and sheets,text,No,Low,参考输出中出现 ハイシンクジャパン様
FD-010,review_cycle,dynamic,rule driven,review pack / checklist,text,No,Low,用于审核轮次控制
FD-011,fixed_contract_title,fixed,reference output template,doc title block,text,Yes,Medium,需要从参考 doc 中拆解
FD-012,fixed_table_headers,fixed,reference xlsx/xls template,table outputs,text,Yes,Medium,需要从表格参考中抽出
FD-013,filename_pattern,rule,reference output filename,output naming,text,Yes,Medium,后续形成统一命名规则
FD-014,document_category,rule,business rule,route to different template,text,Yes,Medium,文书型 / 表格型 / 检查型
FD-015,review_required_flag,rule,quality rule,review process,boolean,Yes,High,高风险文档默认必需
